2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM1MA==/tiles/TileGroup6/6-23-26.jpg HTTP/1.1" 200 -
2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM3OQ==/tiles/TileGroup6/6-23-26.jpg HTTP/1.1" 200 -
2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM1MA==/tiles/TileGroup6/6-26-25.jpg HTTP/1.1" 200 -
2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM2MQ==/tiles/TileGroup6/6-26-25.jpg HTTP/1.1" 200 -
2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM3OQ==/tiles/TileGroup6/6-26-25.jpg HTTP/1.1" 200 -
2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM1MA==/tiles/TileGroup6/6-22-27.jpg HTTP/1.1" 200 -
2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM2MQ==/tiles/TileGroup6/6-22-27.jpg HTTP/1.1" 200 -
2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM3OQ==/tiles/TileGroup6/6-22-27.jpg HTTP/1.1" 200 -
2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM1MA==/tiles/TileGroup6/6-25-25.jpg HTTP/1.1" 200 -
2016-04-29 18:46:00 | INFO     | werkzeug                                 | 127.0.0.1 - - [29/Apr/2016 18:46:00] "GET /api/channel_layers/dG1hcHM2MQ==/tiles/TileGroup6/6-25-25.jpg HTTP/1.1" 200 -
